"Consumer price index (2015=100) by commodity group, time and unit"

" "," ","Index","Percentage change compared to previous month (per cent)","Percentage change compared to same month the year before (per cent)"
"02.1.1.1 Spirits and liqueurs"
" ","2001M01",..,..,..
" ","2001M02",..,..,..
" ","2001M03",..,..,..
" ","2001M04",..,..,..
" ","2001M05",..,..,..
" ","2001M06",..,..,..
" ","2001M07",..,..,..
" ","2001M08",..,..,..
" ","2001M09",..,..,..
" ","2001M10",..,..,..
" ","2001M11",..,..,..
" ","2001M12",..,..,..
" ","2002M01",..,..,..
" ","2002M02",..,..,..
" ","2002M03",..,..,..
" ","2002M04",..,..,..
" ","2002M05",..,..,..
" ","2002M06",..,..,..
" ","2002M07",..,..,..
" ","2002M08",..,..,..
" ","2002M09",..,..,..
" ","2002M10",..,..,..
" ","2002M11",..,..,..
" ","2002M12",..,..,..
" ","2003M01",..,..,..
" ","2003M02",..,..,..
" ","2003M03",..,..,..
" ","2003M04",..,..,..
" ","2003M05",..,..,..
" ","2003M06",..,..,..
" ","2003M07",..,..,..
" ","2003M08",..,..,..
" ","2003M09",..,..,..
" ","2003M10",..,..,..
" ","2003M11",..,..,..
" ","2003M12",..,..,..
" ","2004M01",..,..,..
" ","2004M02",..,..,..
" ","2004M03",..,..,..
" ","2004M04",..,..,..
" ","2004M05",..,..,..
" ","2004M06",..,..,..
" ","2004M07",..,..,..
" ","2004M08",..,..,..
" ","2004M09",..,..,..
" ","2004M10",..,..,..
" ","2004M11",..,..,..
" ","2004M12",..,..,..
" ","2005M01",..,..,..
" ","2005M02",..,..,..
" ","2005M03",..,..,..
" ","2005M04",..,..,..
" ","2005M05",..,..,..
" ","2005M06",..,..,..
" ","2005M07",..,..,..
" ","2005M08",..,..,..
" ","2005M09",..,..,..
" ","2005M10",..,..,..
" ","2005M11",..,..,..
" ","2005M12",..,..,..
" ","2006M01",..,..,..
" ","2006M02",..,..,..
" ","2006M03",..,..,..
" ","2006M04",..,..,..
" ","2006M05",..,..,..
" ","2006M06",..,..,..
" ","2006M07",..,..,..
" ","2006M08",..,..,..
" ","2006M09",..,..,..
" ","2006M10",..,..,..
" ","2006M11",..,..,..
" ","2006M12",..,..,..
" ","2007M01",..,..,..
" ","2007M02",..,..,..
" ","2007M03",..,..,..
" ","2007M04",..,..,..
" ","2007M05",..,..,..
" ","2007M06",..,..,..
" ","2007M07",..,..,..
" ","2007M08",..,..,..
" ","2007M09",..,..,..
" ","2007M10",..,..,..
" ","2007M11",..,..,..
" ","2007M12",..,..,..
" ","2008M01",..,..,..
" ","2008M02",..,..,..
" ","2008M03",..,..,..
" ","2008M04",..,..,..
" ","2008M05",..,..,..
" ","2008M06",..,..,..
" ","2008M07",..,..,..
" ","2008M08",..,..,..
" ","2008M09",..,..,..
" ","2008M10",..,..,..
" ","2008M11",..,..,..
" ","2008M12",..,..,..
" ","2009M01",98.0,..,..
" ","2009M02",98.0,0.0,..
" ","2009M03",98.3,0.3,..
" ","2009M04",98.5,0.2,..
" ","2009M05",98.4,-0.1,..
" ","2009M06",98.4,0.0,..
" ","2009M07",98.4,0.0,..
" ","2009M08",98.4,0.0,..
" ","2009M09",98.2,-0.2,..
" ","2009M10",98.0,-0.2,..
" ","2009M11",97.9,-0.1,..
" ","2009M12",98.8,0.9,..
" ","2010M01",98.8,0.0,0.8
" ","2010M02",98.8,0.0,0.8
" ","2010M03",99.1,0.3,0.8
" ","2010M04",99.2,0.1,0.7
" ","2010M05",99.2,0.0,0.8
" ","2010M06",99.0,-0.2,0.6
" ","2010M07",98.8,-0.2,0.4
" ","2010M08",98.8,0.0,0.4
" ","2010M09",98.3,-0.5,0.1
" ","2010M10",98.6,0.3,0.6
" ","2010M11",98.7,0.1,0.8
" ","2010M12",98.7,0.0,-0.1
" ","2011M01",98.3,-0.4,-0.5
" ","2011M02",98.4,0.1,-0.4
" ","2011M03",98.4,0.0,-0.7
" ","2011M04",98.4,0.0,-0.8
" ","2011M05",98.5,0.1,-0.7
" ","2011M06",98.5,0.0,-0.5
" ","2011M07",98.1,-0.4,-0.7
" ","2011M08",98.2,0.1,-0.6
" ","2011M09",97.8,-0.4,-0.5
" ","2011M10",97.8,0.0,-0.8
" ","2011M11",97.3,-0.5,-1.4
" ","2011M12",97.0,-0.3,-1.7
" ","2012M01",97.1,0.1,-1.2
" ","2012M02",98.0,0.9,-0.4
" ","2012M03",98.3,0.3,-0.1
" ","2012M04",97.9,-0.4,-0.5
" ","2012M05",97.8,-0.1,-0.7
" ","2012M06",98.0,0.2,-0.5
" ","2012M07",98.3,0.3,0.2
" ","2012M08",98.3,0.0,0.1
" ","2012M09",98.6,0.3,0.8
" ","2012M10",98.3,-0.3,0.5
" ","2012M11",97.8,-0.5,0.5
" ","2012M12",97.5,-0.3,0.5
" ","2013M01",97.4,-0.1,0.3
" ","2013M02",99.0,1.6,1.0
" ","2013M03",98.6,-0.4,0.3
" ","2013M04",99.2,0.6,1.3
" ","2013M05",98.6,-0.6,0.8
" ","2013M06",98.8,0.2,0.8
" ","2013M07",100.0,1.2,1.7
" ","2013M08",100.7,0.7,2.4
" ","2013M09",99.7,-1.0,1.1
" ","2013M10",99.9,0.2,1.6
" ","2013M11",100.7,0.8,3.0
" ","2013M12",100.3,-0.4,2.9
" ","2014M01",99.9,-0.4,2.6
" ","2014M02",100.7,0.8,1.7
" ","2014M03",100.0,-0.7,1.4
" ","2014M04",98.7,-1.3,-0.5
" ","2014M05",98.6,-0.1,0.0
" ","2014M06",99.7,1.1,0.9
" ","2014M07",99.0,-0.7,-1.0
" ","2014M08",99.5,0.5,-1.2
" ","2014M09",99.5,0.0,-0.2
" ","2014M10",99.1,-0.4,-0.8
" ","2014M11",98.8,-0.3,-1.9
" ","2014M12",99.3,0.5,-1.0
" ","2015M01",100.3,1.0,0.4
" ","2015M02",100.2,-0.1,-0.5
" ","2015M03",100.5,0.3,0.5
" ","2015M04",100.6,0.1,1.9
" ","2015M05",100.8,0.2,2.2
" ","2015M06",101.1,0.3,1.4
" ","2015M07",99.3,-1.8,0.3
" ","2015M08",99.8,0.5,0.3
" ","2015M09",100.9,1.1,1.4
" ","2015M10",99.2,-1.7,0.1
" ","2015M11",100.0,0.8,1.2
" ","2015M12",97.3,-2.7,-2.0
" ","2016M01",100.5,3.3,0.2
" ","2016M02",99.6,-0.9,-0.6
" ","2016M03",98.8,-0.8,-1.7
" ","2016M04",101.1,2.3,0.5
" ","2016M05",98.4,-2.7,-2.4
" ","2016M06",100.9,2.5,-0.2
" ","2016M07",100.7,-0.2,1.4
" ","2016M08",100.9,0.2,1.1
" ","2016M09",100.0,-0.9,-0.9
" ","2016M10",99.5,-0.5,0.3
" ","2016M11",100.2,0.7,0.2
" ","2016M12",96.5,-3.7,-0.8
" ","2017M01",102.0,5.7,1.5
" ","2017M02",101.5,-0.5,1.9
" ","2017M03",98.7,-2.8,-0.1
" ","2017M04",95.8,-2.9,-5.2
" ","2017M05",98.9,3.2,0.5
" ","2017M06",98.1,-0.8,-2.8
" ","2017M07",98.6,0.5,-2.1
" ","2017M08",101.1,2.5,0.2
" ","2017M09",101.3,0.2,1.3
" ","2017M10",100.8,-0.5,1.3
" ","2017M11",99.8,-1.0,-0.4
" ","2017M12",95.4,-4.4,-1.1
" ","2018M01",102.1,7.0,0.1
" ","2018M02",100.8,-1.3,-0.7
" ","2018M03",96.7,-4.1,-2.0
" ","2018M04",99.6,3.0,4.0
" ","2018M05",97.3,-2.3,-1.6
" ","2018M06",98.0,0.7,-0.1
" ","2018M07",101.2,3.3,2.6
" ","2018M08",100.0,-1.2,-1.1
" ","2018M09",100.8,0.8,-0.5
" ","2018M10",99.9,-0.9,-0.9
" ","2018M11",99.1,-0.8,-0.7
" ","2018M12",94.4,-4.7,-1.0
" ","2019M01",99.9,5.8,-2.2
" ","2019M02",101.1,1.2,0.3
" ","2019M03",98.9,-2.2,2.3
" ","2019M04",96.7,-2.2,-2.9
" ","2019M05",99.1,2.5,1.8
" ","2019M06",95.9,-3.2,-2.1
" ","2019M07",100.5,4.8,-0.7
" ","2019M08",99.1,-1.4,-0.9
" ","2019M09",99.6,0.5,-1.2
" ","2019M10",98.3,-1.3,-1.6
" ","2019M11",98.9,0.6,-0.2
" ","2019M12",94.2,-4.8,-0.2
" ","2020M01",99.5,5.6,-0.4
" ","2020M02",97.9,-1.6,-3.2
" ","2020M03",98.5,0.6,-0.4
" ","2020M04",96.1,-2.4,-0.6
" ","2020M05",99.4,3.4,0.3
" ","2020M06",95.9,-3.5,0.0
" ","2020M07",100.3,4.6,-0.2
" ","2020M08",98.0,-2.3,-1.1
" ","2020M09",98.7,0.7,-0.9
" ","2020M10",98.7,0.0,0.4
" ","2020M11",97.4,-1.3,-1.5
" ","2020M12",92.8,-4.7,-1.5
" ","2021M01",100.0,7.8,0.5
" ","2021M02",99.3,-0.7,1.4
" ","2021M03",97.9,-1.4,-0.6
" ","2021M04",100.0,2.1,4.1
" ","2021M05",97.2,-2.8,-2.2
" ","2021M06",99.0,1.9,3.2
" ","2021M07",101.5,2.5,1.2
" ","2021M08",99.4,-2.1,1.4
" ","2021M09",100.1,0.7,1.4
" ","2021M10",100.1,0.0,1.4
" ","2021M11",99.5,-0.6,2.2
" ","2021M12",94.7,-4.8,2.0
" ","2022M01",100.9,6.5,0.9
" ","2022M02",99.8,-1.1,0.5
" ","2022M03",98.6,-1.2,0.7
" ","2022M04",97.0,-1.6,-3.0
" ","2022M05",101.4,4.5,4.3
" ","2022M06",100.1,-1.3,1.1
" ","2022M07",103.3,3.2,1.8
" ","2022M08",100.7,-2.5,1.3
" ","2022M09",102.2,1.5,2.1
" ","2022M10",101.3,-0.9,1.2
" ","2022M11",101.9,0.6,2.4
" ","2022M12",96.9,-4.9,2.3
" ","2023M01",105.4,8.8,4.5
" ","2023M02",105.4,0.0,5.6
" ","2023M03",102.8,-2.5,4.3
" ","2023M04",103.1,0.3,6.3
" ","2023M05",105.6,2.4,4.1
" ","2023M06",103.5,-2.0,3.4
" ","2023M07",109.2,5.5,5.7
" ","2023M08",104.6,-4.2,3.9
" ","2023M09",104.9,0.3,2.6
" ","2023M10",106.3,1.3,4.9
" ","2023M11",106.4,0.1,4.4
" ","2023M12",98.3,-7.6,1.4
" ","2024M01",107.4,9.3,1.9
" ","2024M02",105.3,-2.0,-0.1
" ","2024M03",101.7,-3.4,-1.1
" ","2024M04",109.3,7.5,6.0
" ","2024M05",104.5,-4.4,-1.0
" ","2024M06",104.7,0.2,1.2
" ","2024M07",106.8,2.0,-2.2
" ","2024M08",104.0,-2.6,-0.6
" ","2024M09",103.6,-0.4,-1.2
" ","2024M10",105.2,1.5,-1.0
" ","2024M11",104.7,-0.5,-1.6
" ","2024M12",98.5,-5.9,0.2
" ","2025M01",106.3,7.9,-1.0
" ","2025M02",104.2,-2.0,-1.0
" ","2025M03",103.0,-1.2,1.3
" ","2025M04",97.0,-5.8,-11.3
" ","2025M05",103.8,7.0,-0.7
" ","2025M06",103.3,-0.5,-1.3
" ","2025M07",107.6,4.2,0.7
" ","2025M08",104.8,-2.6,0.8
" ","2025M09",104.4,-0.4,0.8
"02.1.1.2 Alcoholic soft drinks"
" ","2001M01",..,..,..
" ","2001M02",..,..,..
" ","2001M03",..,..,..
" ","2001M04",..,..,..
" ","2001M05",..,..,..
" ","2001M06",..,..,..
" ","2001M07",..,..,..
" ","2001M08",..,..,..
" ","2001M09",..,..,..
" ","2001M10",..,..,..
" ","2001M11",..,..,..
" ","2001M12",..,..,..
" ","2002M01",..,..,..
" ","2002M02",..,..,..
" ","2002M03",..,..,..
" ","2002M04",..,..,..
" ","2002M05",..,..,..
" ","2002M06",..,..,..
" ","2002M07",..,..,..
" ","2002M08",..,..,..
" ","2002M09",..,..,..
" ","2002M10",..,..,..
" ","2002M11",..,..,..
" ","2002M12",..,..,..
" ","2003M01",..,..,..
" ","2003M02",..,..,..
" ","2003M03",..,..,..
" ","2003M04",..,..,..
" ","2003M05",..,..,..
" ","2003M06",..,..,..
" ","2003M07",..,..,..
" ","2003M08",..,..,..
" ","2003M09",..,..,..
" ","2003M10",..,..,..
" ","2003M11",..,..,..
" ","2003M12",..,..,..
" ","2004M01",..,..,..
" ","2004M02",..,..,..
" ","2004M03",..,..,..
" ","2004M04",..,..,..
" ","2004M05",..,..,..
" ","2004M06",..,..,..
" ","2004M07",..,..,..
" ","2004M08",..,..,..
" ","2004M09",..,..,..
" ","2004M10",..,..,..
" ","2004M11",..,..,..
" ","2004M12",..,..,..
" ","2005M01",..,..,..
" ","2005M02",..,..,..
" ","2005M03",..,..,..
" ","2005M04",..,..,..
" ","2005M05",..,..,..
" ","2005M06",..,..,..
" ","2005M07",..,..,..
" ","2005M08",..,..,..
" ","2005M09",..,..,..
" ","2005M10",..,..,..
" ","2005M11",..,..,..
" ","2005M12",..,..,..
" ","2006M01",..,..,..
" ","2006M02",..,..,..
" ","2006M03",..,..,..
" ","2006M04",..,..,..
" ","2006M05",..,..,..
" ","2006M06",..,..,..
" ","2006M07",..,..,..
" ","2006M08",..,..,..
" ","2006M09",..,..,..
" ","2006M10",..,..,..
" ","2006M11",..,..,..
" ","2006M12",..,..,..
" ","2007M01",..,..,..
" ","2007M02",..,..,..
" ","2007M03",..,..,..
" ","2007M04",..,..,..
" ","2007M05",..,..,..
" ","2007M06",..,..,..
" ","2007M07",..,..,..
" ","2007M08",..,..,..
" ","2007M09",..,..,..
" ","2007M10",..,..,..
" ","2007M11",..,..,..
" ","2007M12",..,..,..
" ","2008M01",..,..,..
" ","2008M02",..,..,..
" ","2008M03",..,..,..
" ","2008M04",..,..,..
" ","2008M05",..,..,..
" ","2008M06",..,..,..
" ","2008M07",..,..,..
" ","2008M08",..,..,..
" ","2008M09",..,..,..
" ","2008M10",..,..,..
" ","2008M11",..,..,..
" ","2008M12",..,..,..
" ","2009M01",..,..,..
" ","2009M02",..,..,..
" ","2009M03",..,..,..
" ","2009M04",..,..,..
" ","2009M05",..,..,..
" ","2009M06",..,..,..
" ","2009M07",..,..,..
" ","2009M08",..,..,..
" ","2009M09",..,..,..
" ","2009M10",..,..,..
" ","2009M11",..,..,..
" ","2009M12",..,..,..
" ","2010M01",..,..,..
" ","2010M02",..,..,..
" ","2010M03",..,..,..
" ","2010M04",..,..,..
" ","2010M05",..,..,..
" ","2010M06",..,..,..
" ","2010M07",..,..,..
" ","2010M08",..,..,..
" ","2010M09",..,..,..
" ","2010M10",..,..,..
" ","2010M11",..,..,..
" ","2010M12",..,..,..
" ","2011M01",..,..,..
" ","2011M02",..,..,..
" ","2011M03",..,..,..
" ","2011M04",..,..,..
" ","2011M05",..,..,..
" ","2011M06",..,..,..
" ","2011M07",..,..,..
" ","2011M08",..,..,..
" ","2011M09",..,..,..
" ","2011M10",..,..,..
" ","2011M11",..,..,..
" ","2011M12",..,..,..
" ","2012M01",..,..,..
" ","2012M02",..,..,..
" ","2012M03",..,..,..
" ","2012M04",..,..,..
" ","2012M05",..,..,..
" ","2012M06",..,..,..
" ","2012M07",..,..,..
" ","2012M08",..,..,..
" ","2012M09",..,..,..
" ","2012M10",..,..,..
" ","2012M11",..,..,..
" ","2012M12",..,..,..
" ","2013M01",..,..,..
" ","2013M02",..,..,..
" ","2013M03",..,..,..
" ","2013M04",..,..,..
" ","2013M05",..,..,..
" ","2013M06",..,..,..
" ","2013M07",..,..,..
" ","2013M08",..,..,..
" ","2013M09",..,..,..
" ","2013M10",..,..,..
" ","2013M11",..,..,..
" ","2013M12",..,..,..
" ","2014M01",..,..,..
" ","2014M02",..,..,..
" ","2014M03",..,..,..
" ","2014M04",..,..,..
" ","2014M05",..,..,..
" ","2014M06",..,..,..
" ","2014M07",..,..,..
" ","2014M08",..,..,..
" ","2014M09",..,..,..
" ","2014M10",..,..,..
" ","2014M11",..,..,..
" ","2014M12",..,..,..
" ","2015M01",..,..,..
" ","2015M02",..,..,..
" ","2015M03",..,..,..
" ","2015M04",..,..,..
" ","2015M05",..,..,..
" ","2015M06",..,..,..
" ","2015M07",..,..,..
" ","2015M08",..,..,..
" ","2015M09",..,..,..
" ","2015M10",..,..,..
" ","2015M11",..,..,..
" ","2015M12",100.0,..,..
" ","2016M01",98.6,-1.4,..
" ","2016M02",103.4,4.9,..
" ","2016M03",104.0,0.6,..
" ","2016M04",101.9,-2.0,..
" ","2016M05",99.4,-2.5,..
" ","2016M06",98.7,-0.7,..
" ","2016M07",96.3,-2.4,..
" ","2016M08",98.6,2.4,..
" ","2016M09",101.9,3.3,..
" ","2016M10",100.8,-1.1,..
" ","2016M11",98.9,-1.9,..
" ","2016M12",105.3,6.5,5.3
" ","2017M01",106.8,1.4,8.3
" ","2017M02",98.1,-8.1,-5.1
" ","2017M03",98.5,0.4,-5.3
" ","2017M04",95.0,-3.6,-6.8
" ","2017M05",101.2,6.5,1.8
" ","2017M06",103.4,2.2,4.8
" ","2017M07",93.1,-10.0,-3.3
" ","2017M08",100.8,8.3,2.2
" ","2017M09",102.2,1.4,0.3
" ","2017M10",100.5,-1.7,-0.3
" ","2017M11",99.2,-1.3,0.3
" ","2017M12",100.3,1.1,-4.7
" ","2018M01",97.5,-2.8,-8.7
" ","2018M02",91.1,-6.6,-7.1
" ","2018M03",89.6,-1.6,-9.0
" ","2018M04",89.2,-0.4,-6.1
" ","2018M05",86.5,-3.0,-14.5
" ","2018M06",82.9,-4.2,-19.8
" ","2018M07",85.0,2.5,-8.7
" ","2018M08",82.6,-2.8,-18.1
" ","2018M09",84.9,2.8,-16.9
" ","2018M10",88.4,4.1,-12.0
" ","2018M11",85.1,-3.7,-14.2
" ","2018M12",86.6,1.8,-13.7
" ","2019M01",85.5,-1.3,-12.3
" ","2019M02",84.9,-0.7,-6.8
" ","2019M03",81.3,-4.2,-9.3
" ","2019M04",79.7,-2.0,-10.7
" ","2019M05",81.1,1.8,-6.2
" ","2019M06",77.5,-4.4,-6.5
" ","2019M07",80.0,3.2,-5.9
" ","2019M08",79.1,-1.1,-4.2
" ","2019M09",71.1,-10.1,-16.3
" ","2019M10",71.9,1.1,-18.7
" ","2019M11",69.1,-3.9,-18.8
" ","2019M12",78.4,13.5,-9.5
" ","2020M01",72.7,-7.3,-15.0
" ","2020M02",71.1,-2.2,-16.3
" ","2020M03",75.7,6.5,-6.9
" ","2020M04",81.3,7.4,2.0
" ","2020M05",80.1,-1.5,-1.2
" ","2020M06",76.9,-4.0,-0.8
" ","2020M07",82.2,6.9,2.8
" ","2020M08",78.7,-4.3,-0.5
" ","2020M09",79.8,1.4,12.2
" ","2020M10",79.8,0.0,11.0
" ","2020M11",83.2,4.3,20.4
" ","2020M12",84.2,1.2,7.4
" ","2021M01",81.7,-3.0,12.4
" ","2021M02",76.5,-6.4,7.6
" ","2021M03",80.7,5.5,6.6
" ","2021M04",75.3,-6.7,-7.4
" ","2021M05",77.0,2.3,-3.9
" ","2021M06",74.2,-3.6,-3.5
" ","2021M07",80.6,8.6,-1.9
" ","2021M08",77.2,-4.2,-1.9
" ","2021M09",80.7,4.5,1.1
" ","2021M10",82.5,2.2,3.4
" ","2021M11",78.3,-5.1,-5.9
" ","2021M12",83.5,6.6,-0.8
" ","2022M01",84.6,1.3,3.5
" ","2022M02",81.4,-3.8,6.4
" ","2022M03",82.1,0.9,1.7
" ","2022M04",77.1,-6.1,2.4
" ","2022M05",74.1,-3.9,-3.8
" ","2022M06",75.9,2.4,2.3
" ","2022M07",79.7,5.0,-1.1
" ","2022M08",80.8,1.4,4.7
" ","2022M09",82.4,2.0,2.1
" ","2022M10",87.5,6.2,6.1
" ","2022M11",86.6,-1.0,10.6
" ","2022M12",81.9,-5.4,-1.9
" ","2023M01",85.4,4.3,0.9
" ","2023M02",83.6,-2.1,2.7
" ","2023M03",85.7,2.5,4.4
" ","2023M04",79.9,-6.8,3.6
" ","2023M05",78.9,-1.3,6.5
" ","2023M06",80.1,1.5,5.5
" ","2023M07",82.4,2.9,3.4
" ","2023M08",83.4,1.2,3.2
" ","2023M09",84.1,0.8,2.1
" ","2023M10",86.8,3.2,-0.8
" ","2023M11",88.7,2.2,2.4
" ","2023M12",90.8,2.4,10.9
" ","2024M01",87.2,-4.0,2.1
" ","2024M02",89.2,2.3,6.7
" ","2024M03",89.7,0.6,4.7
" ","2024M04",90.7,1.1,13.5
" ","2024M05",90.1,-0.7,14.2
" ","2024M06",82.6,-8.3,3.1
" ","2024M07",90.1,9.1,9.3
" ","2024M08",88.1,-2.2,5.6
" ","2024M09",88.5,0.5,5.2
" ","2024M10",91.3,3.2,5.2
" ","2024M11",87.8,-3.8,-1.0
" ","2024M12",89.0,1.4,-2.0
" ","2025M01",89.7,0.8,2.9
" ","2025M02",85.8,-4.3,-3.8
" ","2025M03",84.1,-2.0,-6.2
" ","2025M04",80.8,-3.9,-10.9
" ","2025M05",78.7,-2.6,-12.7
" ","2025M06",84.3,7.1,2.1
" ","2025M07",83.7,-0.7,-7.1
" ","2025M08",88.1,5.3,0.0
" ","2025M09",86.6,-1.7,-2.1
"02.1.2.1 Wine from grapes"
" ","2001M01",..,..,..
" ","2001M02",..,..,..
" ","2001M03",..,..,..
" ","2001M04",..,..,..
" ","2001M05",..,..,..
" ","2001M06",..,..,..
" ","2001M07",..,..,..
" ","2001M08",..,..,..
" ","2001M09",..,..,..
" ","2001M10",..,..,..
" ","2001M11",..,..,..
" ","2001M12",..,..,..
" ","2002M01",..,..,..
" ","2002M02",..,..,..
" ","2002M03",..,..,..
" ","2002M04",..,..,..
" ","2002M05",..,..,..
" ","2002M06",..,..,..
" ","2002M07",..,..,..
" ","2002M08",..,..,..
" ","2002M09",..,..,..
" ","2002M10",..,..,..
" ","2002M11",..,..,..
" ","2002M12",..,..,..
" ","2003M01",..,..,..
" ","2003M02",..,..,..
" ","2003M03",..,..,..
" ","2003M04",..,..,..
" ","2003M05",..,..,..
" ","2003M06",..,..,..
" ","2003M07",..,..,..
" ","2003M08",..,..,..
" ","2003M09",..,..,..
" ","2003M10",..,..,..
" ","2003M11",..,..,..
" ","2003M12",..,..,..
" ","2004M01",..,..,..
" ","2004M02",..,..,..
" ","2004M03",..,..,..
" ","2004M04",..,..,..
" ","2004M05",..,..,..
" ","2004M06",..,..,..
" ","2004M07",..,..,..
" ","2004M08",..,..,..
" ","2004M09",..,..,..
" ","2004M10",..,..,..
" ","2004M11",..,..,..
" ","2004M12",..,..,..
" ","2005M01",..,..,..
" ","2005M02",..,..,..
" ","2005M03",..,..,..
" ","2005M04",..,..,..
" ","2005M05",..,..,..
" ","2005M06",..,..,..
" ","2005M07",..,..,..
" ","2005M08",..,..,..
" ","2005M09",..,..,..
" ","2005M10",..,..,..
" ","2005M11",..,..,..
" ","2005M12",..,..,..
" ","2006M01",..,..,..
" ","2006M02",..,..,..
" ","2006M03",..,..,..
" ","2006M04",..,..,..
" ","2006M05",..,..,..
" ","2006M06",..,..,..
" ","2006M07",..,..,..
" ","2006M08",..,..,..
" ","2006M09",..,..,..
" ","2006M10",..,..,..
" ","2006M11",..,..,..
" ","2006M12",..,..,..
" ","2007M01",..,..,..
" ","2007M02",..,..,..
" ","2007M03",..,..,..
" ","2007M04",..,..,..
" ","2007M05",..,..,..
" ","2007M06",..,..,..
" ","2007M07",..,..,..
" ","2007M08",..,..,..
" ","2007M09",..,..,..
" ","2007M10",..,..,..
" ","2007M11",..,..,..
" ","2007M12",..,..,..
" ","2008M01",..,..,..
" ","2008M02",..,..,..
" ","2008M03",..,..,..
" ","2008M04",..,..,..
" ","2008M05",..,..,..
" ","2008M06",..,..,..
" ","2008M07",..,..,..
" ","2008M08",..,..,..
" ","2008M09",..,..,..
" ","2008M10",..,..,..
" ","2008M11",..,..,..
" ","2008M12",..,..,..
" ","2009M01",87.1,..,..
" ","2009M02",87.8,0.8,..
" ","2009M03",87.6,-0.2,..
" ","2009M04",88.1,0.6,..
" ","2009M05",88.1,0.0,..
" ","2009M06",88.0,-0.1,..
" ","2009M07",87.9,-0.1,..
" ","2009M08",87.6,-0.3,..
" ","2009M09",87.9,0.3,..
" ","2009M10",87.3,-0.7,..
" ","2009M11",87.3,0.0,..
" ","2009M12",87.9,0.7,..
" ","2010M01",87.4,-0.6,0.3
" ","2010M02",87.8,0.5,0.0
" ","2010M03",87.7,-0.1,0.1
" ","2010M04",87.7,0.0,-0.5
" ","2010M05",87.9,0.2,-0.2
" ","2010M06",87.6,-0.3,-0.5
" ","2010M07",87.3,-0.3,-0.7
